year,team,continuity,wins
1989-90,ATL,73%,41
1995-96,ATL,78%,46
1987-88,ATL,99%,50
1986-87,ATL,90%,57
1958-59,ATL,76%,49
1974-75,ATL,38%,31
1977-78,ATL,47%,41
1994-95,ATL,53%,42
1976-77,ATL,43%,31
1978-79,ATL,69%,46
1999-00,ATL,45%,28
1962-63,ATL,42%,48
2012-13,ATL,52%,44
2002-03,ATL,74%,35
2015-16,ATL,87%,48
1969-70,ATL,79%,48
2008-09,ATL,79%,47
1991-92,ATL,50%,38
1971-72,ATL,50%,36
1960-61,ATL,71%,51
1982-83,ATL,73%,43
1998-99,ATL,68%,31
1996-97,ATL,50%,56
2005-06,ATL,50%,26
1997-98,ATL,86%,50
1967-68,ATL,91%,56
2011-12,ATL,72%,40
1993-94,ATL,71%,57
1959-60,ATL,76%,46
1980-81,ATL,82%,31
2003-04,ATL,52%,28
1968-69,ATL,83%,48
1990-91,ATL,87%,43
1957-58,ATL,89%,41
2000-01,ATL,64%,25
1975-76,ATL,83%,29
2001-02,ATL,61%,33
2014-15,ATL,88%,60
1955-56,ATL,52%,33
1964-65,ATL,90%,45
1972-73,ATL,89%,46
1965-66,ATL,79%,36
2013-14,ATL,53%,38
1984-85,ATL,71%,34
1956-57,ATL,58%,34
2010-11,ATL,88%,44
1985-86,ATL,77%,50
2006-07,ATL,72%,30
1992-93,ATL,73%,43
2007-08,ATL,76%,37
1973-74,ATL,79%,35
1963-64,ATL,87%,46
1961-62,ATL,73%,29
1970-71,ATL,70%,36
1983-84,ATL,78%,40
2004-05,ATL,11%,13
1952-53,ATL,27%,27
2009-10,ATL,80%,53
1981-82,ATL,73%,42
1966-67,ATL,82%,39
1954-55,ATL,47%,26
1979-80,ATL,92%,50
1988-89,ATL,68%,52
1953-54,ATL,27%,21
