year,team,continuity,wins
1989-90,BRK,54%,17
1995-96,BRK,67%,30
1987-88,BRK,46%,19
1986-87,BRK,43%,24
1977-78,BRK,29%,24
1994-95,BRK,87%,30
1978-79,BRK,74%,37
1999-00,BRK,86%,31
2012-13,BRK,54%,49
2002-03,BRK,89%,49
2015-16,BRK,57%,21
2008-09,BRK,41%,34
1991-92,BRK,86%,40
1982-83,BRK,73%,49
1998-99,BRK,59%,16
1996-97,BRK,42%,26
2005-06,BRK,86%,49
1997-98,BRK,63%,43
2011-12,BRK,54%,22
1993-94,BRK,45%,45
1980-81,BRK,50%,24
2003-04,BRK,95%,47
1990-91,BRK,56%,26
2000-01,BRK,61%,26
2001-02,BRK,41%,52
2014-15,BRK,62%,38
2013-14,BRK,45%,44
1984-85,BRK,82%,42
2010-11,BRK,34%,24
1985-86,BRK,91%,39
2006-07,BRK,72%,41
1992-93,BRK,75%,43
2007-08,BRK,75%,34
1983-84,BRK,86%,45
2004-05,BRK,43%,42
2009-10,BRK,69%,12
1981-82,BRK,36%,44
1979-80,BRK,51%,34
1988-89,BRK,41%,26
