year,team,continuity,wins
1989-90,CHA,56%,19
1995-96,CHA,45%,41
1994-95,CHA,82%,50
1999-00,CHA,67%,49
2012-13,CHA,49%,21
2015-16,CHA,51%,48
2008-09,CHA,52%,35
1991-92,CHA,74%,31
1998-99,CHA,36%,26
1996-97,CHA,51%,54
2005-06,CHA,66%,26
1997-98,CHA,58%,51
2011-12,CHA,57%,7
1993-94,CHA,66%,41
1990-91,CHA,64%,26
2000-01,CHA,55%,46
2001-02,CHA,79%,44
2014-15,CHA,61%,33
2013-14,CHA,64%,43
2010-11,CHA,70%,34
2006-07,CHA,72%,33
1992-93,CHA,73%,44
2007-08,CHA,66%,32
2009-10,CHA,59%,44
