year,team,continuity,wins
1989-90,CHI,83%,55
1995-96,CHI,81%,72
1987-88,CHI,71%,50
1986-87,CHI,66%,40
1974-75,CHI,64%,47
1977-78,CHI,79%,40
1994-95,CHI,80%,47
1976-77,CHI,50%,44
1978-79,CHI,65%,31
1999-00,CHI,28%,17
2012-13,CHI,63%,45
2002-03,CHI,69%,30
2015-16,CHI,90%,42
1969-70,CHI,67%,39
2008-09,CHI,73%,41
1991-92,CHI,96%,67
1971-72,CHI,73%,57
1982-83,CHI,52%,28
1998-99,CHI,58%,13
1996-97,CHI,97%,69
2005-06,CHI,82%,41
1997-98,CHI,92%,62
1967-68,CHI,77%,29
2011-12,CHI,93%,50
1993-94,CHI,57%,55
1980-81,CHI,70%,45
2003-04,CHI,49%,23
1968-69,CHI,73%,33
1990-91,CHI,89%,61
2000-01,CHI,47%,15
1975-76,CHI,72%,24
2001-02,CHI,45%,21
2014-15,CHI,64%,50
1972-73,CHI,82%,51
2013-14,CHI,69%,48
1984-85,CHI,72%,38
2010-11,CHI,49%,62
1985-86,CHI,44%,30
2006-07,CHI,65%,49
1992-93,CHI,86%,57
2007-08,CHI,76%,33
1973-74,CHI,96%,54
1970-71,CHI,75%,51
1983-84,CHI,71%,27
2004-05,CHI,46%,47
2009-10,CHI,72%,41
1981-82,CHI,89%,34
1979-80,CHI,45%,30
1988-89,CHI,77%,47
