year,team,continuity,wins
1989-90,CLE,72%,42
1995-96,CLE,73%,47
1987-88,CLE,77%,42
1986-87,CLE,40%,31
1974-75,CLE,66%,40
1977-78,CLE,87%,43
1994-95,CLE,77%,43
1976-77,CLE,93%,43
1978-79,CLE,81%,30
1999-00,CLE,67%,32
2012-13,CLE,55%,24
2002-03,CLE,55%,17
2015-16,CLE,84%,57
2008-09,CLE,78%,66
1991-92,CLE,79%,57
1971-72,CLE,56%,23
1982-83,CLE,59%,23
1998-99,CLE,78%,22
1996-97,CLE,87%,42
2005-06,CLE,63%,50
1997-98,CLE,19%,47
2011-12,CLE,64%,21
1993-94,CLE,78%,47
1980-81,CLE,47%,28
2003-04,CLE,44%,35
1990-91,CLE,73%,33
2000-01,CLE,41%,30
1975-76,CLE,90%,49
2001-02,CLE,62%,29
2014-15,CLE,39%,53
1972-73,CLE,53%,32
2013-14,CLE,60%,33
1984-85,CLE,68%,36
2010-11,CLE,58%,19
1985-86,CLE,81%,29
2006-07,CLE,92%,50
1992-93,CLE,88%,54
2007-08,CLE,78%,45
1973-74,CLE,84%,29
1983-84,CLE,62%,28
2004-05,CLE,55%,42
2009-10,CLE,71%,61
1981-82,CLE,35%,15
1979-80,CLE,48%,37
1988-89,CLE,90%,57
