year,team,continuity,wins
1989-90,DEN,81%,43
1995-96,DEN,79%,35
1987-88,DEN,76%,54
1986-87,DEN,82%,37
1977-78,DEN,52%,48
1994-95,DEN,77%,41
1978-79,DEN,55%,47
1999-00,DEN,57%,35
2012-13,DEN,82%,57
2002-03,DEN,38%,17
2015-16,DEN,70%,33
2008-09,DEN,66%,54
1991-92,DEN,60%,24
1982-83,DEN,75%,45
1998-99,DEN,41%,14
1996-97,DEN,55%,21
2005-06,DEN,84%,44
1997-98,DEN,28%,11
2011-12,DEN,64%,38
1993-94,DEN,82%,42
1980-81,DEN,51%,37
2003-04,DEN,38%,43
1990-91,DEN,41%,20
2000-01,DEN,70%,40
2001-02,DEN,66%,27
2014-15,DEN,62%,30
2013-14,DEN,62%,36
1984-85,DEN,53%,52
2010-11,DEN,72%,50
1985-86,DEN,95%,47
2006-07,DEN,66%,45
1992-93,DEN,66%,36
2007-08,DEN,95%,50
1983-84,DEN,86%,38
2004-05,DEN,64%,49
2009-10,DEN,76%,53
1979-80,DEN,63%,30
1988-89,DEN,73%,44
