year,team,continuity,wins
1989-90,HOU,66%,41
1995-96,HOU,79%,48
1987-88,HOU,67%,46
1986-87,HOU,81%,42
1974-75,HOU,92%,41
1977-78,HOU,81%,28
1994-95,HOU,78%,47
1976-77,HOU,65%,49
1978-79,HOU,81%,47
1999-00,HOU,35%,34
2012-13,HOU,32%,45
2002-03,HOU,69%,43
2015-16,HOU,85%,41
1969-70,HOU,88%,27
2008-09,HOU,74%,53
1991-92,HOU,88%,42
1971-72,HOU,65%,34
1982-83,HOU,44%,14
1998-99,HOU,47%,31
1996-97,HOU,46%,57
2005-06,HOU,54%,34
1997-98,HOU,95%,41
2011-12,HOU,73%,34
1993-94,HOU,84%,58
1980-81,HOU,85%,40
2003-04,HOU,70%,45
1968-69,HOU,66%,37
1990-91,HOU,73%,52
2000-01,HOU,88%,45
1975-76,HOU,81%,40
2001-02,HOU,70%,28
2014-15,HOU,48%,56
1972-73,HOU,46%,33
2013-14,HOU,77%,54
1984-85,HOU,55%,48
2010-11,HOU,77%,43
1985-86,HOU,97%,51
2006-07,HOU,75%,52
1992-93,HOU,75%,55
2007-08,HOU,76%,55
1973-74,HOU,74%,32
1970-71,HOU,61%,40
1983-84,HOU,42%,29
2004-05,HOU,31%,51
2009-10,HOU,64%,42
1981-82,HOU,84%,46
1979-80,HOU,66%,41
1988-89,HOU,48%,45
