year,team,continuity,wins
1989-90,IND,84%,42
1995-96,IND,81%,52
1987-88,IND,84%,38
1986-87,IND,63%,41
1977-78,IND,38%,31
1994-95,IND,82%,52
1978-79,IND,48%,38
1999-00,IND,98%,56
2012-13,IND,73%,49
2002-03,IND,92%,48
2015-16,IND,62%,45
2008-09,IND,52%,36
1991-92,IND,92%,40
1982-83,IND,63%,20
1998-99,IND,92%,33
1996-97,IND,81%,39
2005-06,IND,76%,41
1997-98,IND,86%,58
2011-12,IND,72%,42
1993-94,IND,61%,47
1980-81,IND,76%,44
2003-04,IND,84%,61
1990-91,IND,89%,41
2000-01,IND,84%,41
2001-02,IND,73%,42
2014-15,IND,75%,38
2013-14,IND,77%,56
1984-85,IND,60%,22
2010-11,IND,77%,37
1985-86,IND,58%,26
2006-07,IND,57%,35
1992-93,IND,77%,41
2007-08,IND,80%,36
1983-84,IND,58%,26
2004-05,IND,75%,44
2009-10,IND,64%,32
1981-82,IND,75%,35
1979-80,IND,56%,37
1988-89,IND,73%,28
