year,team,continuity,wins
1989-90,LAC,75%,30
1995-96,LAC,62%,29
1987-88,LAC,69%,17
1986-87,LAC,60%,12
1974-75,LAC,85%,49
1977-78,LAC,34%,27
1994-95,LAC,42%,17
1976-77,LAC,54%,30
1978-79,LAC,26%,43
1999-00,LAC,61%,15
2012-13,LAC,55%,56
2002-03,LAC,66%,27
2015-16,LAC,61%,53
2008-09,LAC,23%,19
1991-92,LAC,77%,45
1971-72,LAC,53%,22
1982-83,LAC,42%,25
1998-99,LAC,65%,9
1996-97,LAC,78%,36
2005-06,LAC,54%,47
1997-98,LAC,71%,17
2011-12,LAC,52%,40
1993-94,LAC,72%,27
1980-81,LAC,56%,36
2003-04,LAC,63%,28
1990-91,LAC,83%,31
2000-01,LAC,54%,31
1975-76,LAC,83%,46
2001-02,LAC,81%,39
2014-15,LAC,83%,56
1972-73,LAC,65%,21
2013-14,LAC,66%,57
1984-85,LAC,55%,31
2010-11,LAC,38%,32
1985-86,LAC,62%,32
2006-07,LAC,82%,40
1992-93,LAC,58%,41
2007-08,LAC,63%,23
1973-74,LAC,40%,42
1983-84,LAC,42%,30
2004-05,LAC,63%,37
2009-10,LAC,66%,29
1981-82,LAC,56%,17
1979-80,LAC,73%,35
1988-89,LAC,57%,21
