year,team,continuity,wins
1989-90,MIA,59%,18
1995-96,MIA,38%,42
1994-95,MIA,54%,32
1999-00,MIA,81%,52
2012-13,MIA,82%,66
2002-03,MIA,66%,25
2015-16,MIA,65%,48
2008-09,MIA,57%,43
1991-92,MIA,85%,38
1998-99,MIA,77%,33
1996-97,MIA,56%,61
2005-06,MIA,49%,52
1997-98,MIA,84%,55
2011-12,MIA,79%,46
1993-94,MIA,99%,42
2003-04,MIA,44%,42
1990-91,MIA,74%,24
2000-01,MIA,45%,50
2001-02,MIA,51%,36
2014-15,MIA,50%,37
2013-14,MIA,91%,54
2010-11,MIA,45%,58
2006-07,MIA,92%,44
1992-93,MIA,83%,36
2007-08,MIA,52%,15
2004-05,MIA,50%,59
2009-10,MIA,78%,47
