year,team,continuity,wins
1989-90,NYK,95%,45
1995-96,NYK,89%,47
1987-88,NYK,60%,38
1986-87,NYK,73%,24
1958-59,NYK,79%,40
1974-75,NYK,93%,40
1977-78,NYK,71%,43
1994-95,NYK,97%,55
1976-77,NYK,54%,40
1978-79,NYK,66%,31
1999-00,NYK,94%,50
1962-63,NYK,54%,21
2012-13,NYK,54%,54
2002-03,NYK,92%,37
2015-16,NYK,42%,32
1969-70,NYK,92%,60
2008-09,NYK,61%,32
1991-92,NYK,68%,51
1971-72,NYK,68%,48
1960-61,NYK,74%,21
1982-83,NYK,37%,44
1998-99,NYK,69%,27
1996-97,NYK,49%,57
2005-06,NYK,43%,23
1997-98,NYK,80%,43
1967-68,NYK,81%,43
2011-12,NYK,47%,36
1993-94,NYK,86%,57
1959-60,NYK,77%,27
1980-81,NYK,76%,50
2003-04,NYK,52%,39
1968-69,NYK,84%,54
1990-91,NYK,89%,39
1957-58,NYK,75%,35
2000-01,NYK,76%,48
1975-76,NYK,77%,38
2001-02,NYK,80%,30
2014-15,NYK,39%,17
1955-56,NYK,79%,35
1964-65,NYK,51%,31
1972-73,NYK,94%,57
1965-66,NYK,44%,30
2013-14,NYK,73%,37
1984-85,NYK,62%,24
1956-57,NYK,71%,36
2010-11,NYK,34%,42
1985-86,NYK,68%,23
2006-07,NYK,84%,33
1992-93,NYK,60%,60
2007-08,NYK,76%,23
1973-74,NYK,98%,49
1963-64,NYK,45%,22
1961-62,NYK,74%,29
1970-71,NYK,93%,52
1983-84,NYK,76%,47
2004-05,NYK,66%,33
1952-53,NYK,84%,47
2009-10,NYK,78%,29
1981-82,NYK,61%,33
1966-67,NYK,84%,36
1954-55,NYK,71%,38
1979-80,NYK,61%,39
1988-89,NYK,73%,52
1953-54,NYK,81%,44
