year,team,continuity,wins
1989-90,OKC,77%,41
1995-96,OKC,75%,64
1987-88,OKC,81%,44
1986-87,OKC,41%,39
1974-75,OKC,50%,43
1977-78,OKC,33%,47
1994-95,OKC,90%,57
1976-77,OKC,61%,40
1978-79,OKC,79%,52
1999-00,OKC,44%,45
2012-13,OKC,80%,60
2002-03,OKC,76%,40
2015-16,OKC,93%,55
1969-70,OKC,55%,36
2008-09,OKC,58%,23
1991-92,OKC,94%,47
1971-72,OKC,97%,47
1982-83,OKC,86%,48
1998-99,OKC,69%,25
1996-97,OKC,78%,57
2005-06,OKC,82%,35
1997-98,OKC,62%,61
2011-12,OKC,93%,47
1993-94,OKC,72%,63
1980-81,OKC,72%,34
2003-04,OKC,84%,37
1968-69,OKC,47%,30
1990-91,OKC,70%,41
2000-01,OKC,79%,44
1975-76,OKC,61%,43
2001-02,OKC,70%,45
2014-15,OKC,66%,45
1972-73,OKC,55%,26
2013-14,OKC,89%,59
1984-85,OKC,62%,31
2010-11,OKC,91%,55
1985-86,OKC,80%,31
2006-07,OKC,91%,31
1992-93,OKC,88%,55
2007-08,OKC,56%,20
1973-74,OKC,74%,36
1970-71,OKC,56%,38
1983-84,OKC,54%,42
2004-05,OKC,84%,52
2009-10,OKC,76%,50
1981-82,OKC,70%,52
1979-80,OKC,95%,56
1988-89,OKC,78%,47
