year,team,continuity,wins
1989-90,PHI,69%,53
1995-96,PHI,35%,18
1987-88,PHI,66%,36
1986-87,PHI,46%,45
1958-59,PHI,82%,35
1974-75,PHI,63%,34
1977-78,PHI,98%,55
1994-95,PHI,53%,24
1976-77,PHI,58%,50
1978-79,PHI,69%,47
1999-00,PHI,84%,49
1962-63,PHI,81%,48
2012-13,PHI,63%,34
2002-03,PHI,54%,48
2015-16,PHI,63%,10
1969-70,PHI,82%,42
2008-09,PHI,80%,41
1991-92,PHI,84%,35
1971-72,PHI,50%,30
1960-61,PHI,79%,38
1982-83,PHI,66%,65
1998-99,PHI,54%,28
1996-97,PHI,53%,22
2005-06,PHI,86%,38
1997-98,PHI,48%,31
1967-68,PHI,98%,62
2011-12,PHI,90%,35
1993-94,PHI,45%,25
1959-60,PHI,89%,45
1980-81,PHI,87%,62
2003-04,PHI,65%,33
1968-69,PHI,72%,55
1990-91,PHI,58%,44
1957-58,PHI,74%,41
2000-01,PHI,90%,56
1975-76,PHI,71%,46
2001-02,PHI,51%,43
2014-15,PHI,29%,18
1955-56,PHI,92%,35
1964-65,PHI,75%,40
1972-73,PHI,26%,9
1965-66,PHI,73%,55
2013-14,PHI,37%,19
1984-85,PHI,82%,58
1956-57,PHI,68%,38
2010-11,PHI,75%,41
1985-86,PHI,82%,54
2006-07,PHI,72%,35
1992-93,PHI,51%,26
2007-08,PHI,75%,40
1973-74,PHI,59%,25
1963-64,PHI,91%,34
1961-62,PHI,82%,41
1970-71,PHI,75%,47
1983-84,PHI,88%,52
2004-05,PHI,71%,43
1952-53,PHI,83%,47
2009-10,PHI,73%,27
1981-82,PHI,94%,58
1966-67,PHI,87%,68
1954-55,PHI,68%,43
1979-80,PHI,88%,59
1988-89,PHI,60%,46
1953-54,PHI,77%,42
