year,team,continuity,wins
1989-90,PHO,83%,54
1995-96,PHO,68%,41
1987-88,PHO,57%,28
1986-87,PHO,74%,36
1974-75,PHO,54%,32
1977-78,PHO,55%,49
1994-95,PHO,70%,59
1976-77,PHO,70%,34
1978-79,PHO,83%,50
1999-00,PHO,56%,53
2012-13,PHO,41%,25
2002-03,PHO,73%,44
2015-16,PHO,53%,23
1969-70,PHO,46%,39
2008-09,PHO,63%,46
1991-92,PHO,95%,53
1971-72,PHO,81%,49
1982-83,PHO,73%,53
1998-99,PHO,62%,27
1996-97,PHO,59%,40
2005-06,PHO,41%,54
1997-98,PHO,66%,56
2011-12,PHO,70%,33
1993-94,PHO,77%,56
1980-81,PHO,78%,57
2003-04,PHO,75%,29
1990-91,PHO,78%,55
2000-01,PHO,63%,51
1975-76,PHO,44%,42
2001-02,PHO,53%,36
2014-15,PHO,81%,39
1972-73,PHO,84%,38
2013-14,PHO,46%,48
1984-85,PHO,73%,36
2010-11,PHO,61%,40
1985-86,PHO,79%,32
2006-07,PHO,95%,61
1992-93,PHO,56%,62
2007-08,PHO,76%,55
1973-74,PHO,64%,30
1970-71,PHO,66%,48
1983-84,PHO,81%,41
2004-05,PHO,59%,62
2009-10,PHO,85%,54
1981-82,PHO,89%,46
1979-80,PHO,88%,55
1988-89,PHO,69%,55
