year,team,continuity,wins
1989-90,POR,64%,59
1995-96,POR,77%,44
1987-88,POR,84%,53
1986-87,POR,80%,49
1974-75,POR,77%,38
1977-78,POR,85%,58
1994-95,POR,88%,44
1976-77,POR,47%,49
1978-79,POR,69%,45
1999-00,POR,63%,59
2012-13,POR,57%,33
2002-03,POR,81%,50
2015-16,POR,47%,44
2008-09,POR,72%,54
1991-92,POR,94%,57
1971-72,POR,62%,18
1982-83,POR,56%,46
1998-99,POR,83%,35
1996-97,POR,52%,49
2005-06,POR,61%,21
1997-98,POR,64%,46
2011-12,POR,59%,28
1993-94,POR,84%,47
1980-81,POR,69%,45
2003-04,POR,77%,41
1990-91,POR,88%,63
2000-01,POR,81%,50
1975-76,POR,72%,37
2001-02,POR,71%,49
2014-15,POR,80%,51
1972-73,POR,48%,21
2013-14,POR,65%,54
1984-85,POR,60%,42
2010-11,POR,78%,48
1985-86,POR,82%,40
2006-07,POR,52%,32
1992-93,POR,73%,51
2007-08,POR,74%,41
1973-74,POR,66%,27
1983-84,POR,92%,48
2004-05,POR,69%,27
2009-10,POR,70%,50
1981-82,POR,79%,42
1979-80,POR,62%,38
1988-89,POR,82%,39
