year,team,continuity,wins
1989-90,SAC,75%,23
1995-96,SAC,68%,39
1987-88,SAC,68%,24
1986-87,SAC,76%,29
1958-59,SAC,26%,19
1974-75,SAC,81%,44
1977-78,SAC,59%,31
1994-95,SAC,76%,39
1976-77,SAC,44%,40
1978-79,SAC,65%,48
1999-00,SAC,76%,44
1962-63,SAC,86%,42
2012-13,SAC,81%,28
2002-03,SAC,81%,59
2015-16,SAC,52%,33
1969-70,SAC,53%,36
2008-09,SAC,66%,17
1991-92,SAC,54%,29
1971-72,SAC,55%,30
1960-61,SAC,63%,33
1982-83,SAC,73%,45
1998-99,SAC,29%,27
1996-97,SAC,87%,34
2005-06,SAC,62%,44
1997-98,SAC,54%,27
1967-68,SAC,78%,39
2011-12,SAC,58%,22
1993-94,SAC,76%,28
1959-60,SAC,67%,19
1980-81,SAC,73%,40
2003-04,SAC,69%,55
1968-69,SAC,88%,41
1990-91,SAC,20%,25
1957-58,SAC,54%,33
2000-01,SAC,71%,55
1975-76,SAC,79%,31
2001-02,SAC,83%,61
2014-15,SAC,70%,29
1955-56,SAC,33%,31
1964-65,SAC,95%,48
1972-73,SAC,72%,36
1965-66,SAC,91%,45
2013-14,SAC,53%,28
1984-85,SAC,87%,31
1956-57,SAC,67%,31
2010-11,SAC,61%,24
1985-86,SAC,81%,37
2006-07,SAC,85%,33
1992-93,SAC,77%,25
2007-08,SAC,67%,38
1973-74,SAC,59%,33
1963-64,SAC,76%,55
1961-62,SAC,84%,43
1970-71,SAC,44%,33
1983-84,SAC,63%,38
2004-05,SAC,63%,50
1952-53,SAC,78%,44
2009-10,SAC,58%,25
1981-82,SAC,44%,30
1966-67,SAC,79%,39
1954-55,SAC,78%,29
1979-80,SAC,76%,47
1988-89,SAC,49%,27
1953-54,SAC,96%,44
