year,team,continuity,wins
1989-90,SAS,27%,56
1995-96,SAS,80%,59
1987-88,SAS,70%,31
1986-87,SAS,62%,28
1977-78,SAS,90%,52
1994-95,SAS,54%,62
1978-79,SAS,98%,48
1999-00,SAS,83%,53
2012-13,SAS,95%,58
2002-03,SAS,81%,60
2015-16,SAS,69%,67
2008-09,SAS,77%,54
1991-92,SAS,72%,47
1982-83,SAS,64%,53
1998-99,SAS,71%,37
1996-97,SAS,75%,20
2005-06,SAS,82%,63
1997-98,SAS,59%,56
2011-12,SAS,79%,50
1993-94,SAS,72%,55
1980-81,SAS,57%,52
2003-04,SAS,62%,57
1990-91,SAS,70%,55
2000-01,SAS,75%,58
2001-02,SAS,59%,58
2014-15,SAS,98%,55
2013-14,SAS,83%,62
1984-85,SAS,73%,41
2010-11,SAS,82%,61
1985-86,SAS,51%,35
2006-07,SAS,84%,58
1992-93,SAS,54%,49
2007-08,SAS,87%,56
1983-84,SAS,68%,37
2004-05,SAS,76%,59
2009-10,SAS,61%,50
1981-82,SAS,64%,48
1979-80,SAS,65%,41
1988-89,SAS,43%,21
