year,team,continuity,wins
1989-90,UTA,84%,55
1995-96,UTA,80%,55
1987-88,UTA,92%,47
1986-87,UTA,73%,44
1977-78,UTA,67%,39
1994-95,UTA,76%,60
1976-77,UTA,85%,35
1978-79,UTA,74%,26
1999-00,UTA,79%,55
2012-13,UTA,73%,43
2002-03,UTA,62%,47
2015-16,UTA,77%,40
2008-09,UTA,92%,48
1991-92,UTA,80%,55
1982-83,UTA,64%,30
1998-99,UTA,91%,37
1996-97,UTA,92%,64
2005-06,UTA,66%,41
1997-98,UTA,98%,62
2011-12,UTA,77%,36
1993-94,UTA,66%,53
1980-81,UTA,50%,28
2003-04,UTA,58%,42
1990-91,UTA,83%,54
2000-01,UTA,66%,53
1975-76,UTA,76%,38
2001-02,UTA,76%,44
2014-15,UTA,61%,38
2013-14,UTA,62%,25
1984-85,UTA,85%,41
2010-11,UTA,50%,39
1985-86,UTA,78%,42
2006-07,UTA,74%,51
1992-93,UTA,80%,47
2007-08,UTA,88%,54
1983-84,UTA,86%,45
2004-05,UTA,54%,26
2009-10,UTA,86%,53
1981-82,UTA,85%,25
1979-80,UTA,11%,24
1988-89,UTA,83%,51
