year,team,continuity,wins
1989-90,WAS,88%,31
1995-96,WAS,53%,39
1987-88,WAS,66%,38
1986-87,WAS,45%,42
1974-75,WAS,81%,60
1977-78,WAS,75%,44
1994-95,WAS,59%,21
1976-77,WAS,69%,48
1978-79,WAS,97%,54
1999-00,WAS,63%,29
1962-63,WAS,24%,25
2012-13,WAS,47%,29
2002-03,WAS,61%,37
2015-16,WAS,75%,41
1969-70,WAS,85%,50
2008-09,WAS,74%,19
1991-92,WAS,55%,25
1971-72,WAS,46%,38
1982-83,WAS,82%,42
1998-99,WAS,63%,18
1996-97,WAS,59%,44
2005-06,WAS,66%,42
1997-98,WAS,84%,42
1967-68,WAS,77%,36
2011-12,WAS,69%,20
1993-94,WAS,64%,24
1980-81,WAS,78%,39
2003-04,WAS,65%,25
1968-69,WAS,77%,57
1990-91,WAS,67%,30
2000-01,WAS,68%,19
1975-76,WAS,82%,48
2001-02,WAS,67%,37
2014-15,WAS,72%,46
1964-65,WAS,51%,37
1972-73,WAS,72%,52
1965-66,WAS,56%,38
2013-14,WAS,77%,44
1984-85,WAS,65%,40
2010-11,WAS,47%,23
1985-86,WAS,69%,39
2006-07,WAS,81%,41
1992-93,WAS,65%,22
2007-08,WAS,89%,43
1973-74,WAS,82%,47
1963-64,WAS,53%,31
1970-71,WAS,86%,42
1983-84,WAS,76%,35
2004-05,WAS,74%,45
2009-10,WAS,59%,26
1981-82,WAS,48%,43
1966-67,WAS,65%,20
1979-80,WAS,80%,39
1988-89,WAS,79%,40
