year,team,continuity,wins
1989-90,MIL,69%,44
1989-90,GSW,62%,37
1989-90,MIA,59%,18
1989-90,ATL,73%,41
1989-90,BOS,89%,52
1989-90,DET,95%,59
1989-90,NYK,95%,45
1989-90,DEN,81%,43
1989-90,DAL,96%,47
1989-90,POR,64%,59
1989-90,CHI,83%,55
1989-90,SAS,27%,56
1989-90,UTA,84%,55
1989-90,CLE,72%,42
1989-90,HOU,66%,41
1989-90,WAS,88%,31
1989-90,LAL,83%,63
1989-90,PHI,69%,53
1989-90,PHO,83%,54
1989-90,LAC,75%,30
1989-90,SAC,75%,23
1989-90,OKC,77%,41
1989-90,IND,84%,42
1995-96,MIL,63%,25
1995-96,GSW,54%,36
1995-96,MIN,53%,26
1995-96,MIA,38%,42
1995-96,ATL,78%,46
1995-96,BOS,66%,33
1995-96,DET,68%,46
1995-96,NYK,89%,47
1995-96,DEN,79%,35
1995-96,DAL,86%,26
1995-96,OKC,75%,64
1995-96,POR,77%,44
1995-96,CHI,81%,72
1995-96,SAS,80%,59
1995-96,UTA,80%,55
1995-96,CLE,73%,47
1995-96,HOU,79%,48
1995-96,WAS,53%,39
1995-96,LAL,86%,53
1995-96,PHI,35%,18
1995-96,PHO,68%,41
1995-96,LAC,62%,29
1995-96,SAC,68%,39
1995-96,ORL,87%,60
1995-96,IND,81%,52
1987-88,MIL,88%,42
1987-88,GSW,52%,20
1987-88,ATL,99%,50
1987-88,BOS,79%,57
1987-88,DET,95%,54
1987-88,NYK,60%,38
1987-88,DEN,76%,54
1987-88,SAC,68%,24
1987-88,POR,84%,53
1987-88,CLE,77%,42
1987-88,SAS,70%,31
1987-88,UTA,92%,47
1987-88,CHI,71%,50
1987-88,HOU,67%,46
1987-88,WAS,66%,38
1987-88,LAL,96%,62
1987-88,PHI,66%,36
1987-88,PHO,57%,28
1987-88,LAC,69%,17
1987-88,DAL,98%,53
1987-88,OKC,81%,44
1987-88,IND,84%,38
1986-87,MIL,69%,50
1986-87,GSW,79%,42
1986-87,ATL,90%,57
1986-87,BOS,90%,59
1986-87,DET,62%,52
1986-87,NYK,73%,24
1986-87,DEN,82%,37
1986-87,SAC,76%,29
1986-87,POR,80%,49
1986-87,CLE,40%,31
1986-87,SAS,62%,28
1986-87,UTA,73%,44
1986-87,CHI,66%,40
1986-87,HOU,81%,42
1986-87,WAS,45%,42
1986-87,LAL,86%,65
1986-87,PHI,46%,45
1986-87,PHO,74%,36
1986-87,LAC,60%,12
1986-87,DAL,89%,55
1986-87,OKC,41%,39
1986-87,IND,63%,41
1958-59,LAL,72%,33
1958-59,PHI,82%,35
1958-59,GSW,79%,32
1958-59,SAC,26%,19
1958-59,ATL,76%,49
1958-59,BOS,89%,52
1958-59,DET,75%,28
1958-59,NYK,79%,40
1974-75,LAL,57%,30
1974-75,PHI,63%,34
1974-75,PHO,54%,32
1974-75,MIL,61%,38
1974-75,GSW,63%,48
1974-75,SAC,81%,44
1974-75,POR,77%,38
1974-75,CHI,64%,47
1974-75,ATL,38%,31
1974-75,BOS,91%,60
1974-75,DET,87%,40
1974-75,LAC,85%,49
1974-75,NYK,93%,40
1974-75,OKC,50%,43
1974-75,HOU,92%,41
1974-75,CLE,66%,40
1974-75,WAS,81%,60
1977-78,MIL,61%,44
1977-78,GSW,75%,43
1977-78,ATL,47%,41
1977-78,BOS,73%,32
1977-78,DET,70%,38
