year,team,continuity,wins
1989-90,BOS,89%,52
1995-96,BOS,66%,33
1987-88,BOS,79%,57
1986-87,BOS,90%,59
1958-59,BOS,89%,52
1974-75,BOS,91%,60
1977-78,BOS,73%,32
1994-95,BOS,49%,35
1976-77,BOS,69%,44
1978-79,BOS,48%,29
1999-00,BOS,68%,35
1962-63,BOS,84%,58
2012-13,BOS,53%,41
2002-03,BOS,78%,44
2015-16,BOS,85%,48
1969-70,BOS,80%,34
2008-09,BOS,94%,62
1991-92,BOS,77%,51
1971-72,BOS,99%,56
1960-61,BOS,94%,57
1982-83,BOS,89%,56
1998-99,BOS,61%,19
1996-97,BOS,69%,15
2016-17,BOS,83%,19
2005-06,BOS,72%,33
1997-98,BOS,37%,36
1967-68,BOS,89%,54
2011-12,BOS,65%,39
1993-94,BOS,77%,32
1959-60,BOS,93%,59
1980-81,BOS,79%,62
2003-04,BOS,50%,36
1968-69,BOS,88%,48
1990-91,BOS,75%,56
1957-58,BOS,97%,49
2000-01,BOS,65%,36
1975-76,BOS,79%,54
2001-02,BOS,79%,49
2014-15,BOS,50%,40
1955-56,BOS,66%,39
1964-65,BOS,91%,62
1972-73,BOS,84%,68
1965-66,BOS,88%,54
2013-14,BOS,59%,25
1984-85,BOS,97%,63
1956-57,BOS,61%,44
2010-11,BOS,76%,56
1985-86,BOS,80%,67
2006-07,BOS,75%,24
1992-93,BOS,82%,48
2007-08,BOS,50%,66
1973-74,BOS,98%,56
1963-64,BOS,90%,59
1961-62,BOS,94%,60
1970-71,BOS,72%,44
1983-84,BOS,85%,62
2004-05,BOS,67%,45
1952-53,BOS,95%,46
2009-10,BOS,79%,50
1981-82,BOS,95%,63
1966-67,BOS,80%,60
1954-55,BOS,65%,36
1979-80,BOS,65%,61
1988-89,BOS,74%,42
1953-54,BOS,87%,42
