year,team,continuity,wins
1989-90,DAL,96%,47
1995-96,DAL,86%,26
1987-88,DAL,98%,53
1986-87,DAL,89%,55
1994-95,DAL,70%,36
1999-00,DAL,85%,40
2012-13,DAL,39%,41
2002-03,DAL,86%,60
2015-16,DAL,55%,42
2008-09,DAL,91%,50
1991-92,DAL,62%,22
1982-83,DAL,70%,38
1998-99,DAL,67%,19
1996-97,DAL,26%,24
2016-17,DAL,54%,10
2005-06,DAL,82%,60
1997-98,DAL,67%,20
2011-12,DAL,71%,36
1993-94,DAL,48%,13
2003-04,DAL,49%,52
1990-91,DAL,74%,28
2000-01,DAL,67%,53
2001-02,DAL,70%,57
2014-15,DAL,38%,50
2013-14,DAL,48%,49
1984-85,DAL,81%,44
2010-11,DAL,79%,57
1985-86,DAL,79%,44
2006-07,DAL,77%,67
1992-93,DAL,63%,11
2007-08,DAL,75%,51
1983-84,DAL,85%,43
2004-05,DAL,51%,58
2009-10,DAL,63%,55
1981-82,DAL,34%,28
1988-89,DAL,82%,38
