year,team,continuity,wins
1989-90,DET,95%,59
1995-96,DET,68%,46
1987-88,DET,95%,54
1986-87,DET,62%,52
1958-59,DET,75%,28
1974-75,DET,87%,40
1977-78,DET,70%,38
1994-95,DET,44%,28
1976-77,DET,63%,44
1978-79,DET,60%,30
1999-00,DET,77%,42
1962-63,DET,81%,34
2012-13,DET,71%,29
2002-03,DET,64%,50
2015-16,DET,50%,44
1969-70,DET,81%,31
2008-09,DET,81%,39
1991-92,DET,79%,48
1971-72,DET,75%,26
1960-61,DET,63%,34
1982-83,DET,82%,37
1998-99,DET,83%,29
1996-97,DET,84%,54
2016-17,DET,72%,15
2005-06,DET,90%,64
1997-98,DET,65%,37
1967-68,DET,67%,40
2011-12,DET,69%,25
1993-94,DET,44%,20
1959-60,DET,73%,30
1980-81,DET,57%,21
2003-04,DET,78%,54
1968-69,DET,66%,32
1990-91,DET,97%,50
1957-58,DET,44%,33
2000-01,DET,40%,32
1975-76,DET,79%,36
2001-02,DET,63%,50
2014-15,DET,57%,32
1955-56,DET,56%,37
1964-65,DET,61%,31
1972-73,DET,59%,40
1965-66,DET,56%,22
2013-14,DET,59%,29
1984-85,DET,84%,46
1956-57,DET,64%,34
2010-11,DET,80%,30
1985-86,DET,81%,46
2006-07,DET,81%,53
1992-93,DET,66%,40
2007-08,DET,79%,59
1973-74,DET,91%,52
1963-64,DET,77%,23
1961-62,DET,86%,37
1970-71,DET,82%,45
1983-84,DET,93%,49
2004-05,DET,81%,54
1952-53,DET,73%,36
2009-10,DET,48%,27
1981-82,DET,50%,39
1966-67,DET,74%,30
1954-55,DET,85%,43
1979-80,DET,41%,16
1988-89,DET,92%,63
1953-54,DET,42%,40
