year,team,continuity,wins
1989-90,GSW,62%,37
1995-96,GSW,54%,36
1987-88,GSW,52%,20
1986-87,GSW,79%,42
1958-59,GSW,79%,32
1974-75,GSW,63%,48
1977-78,GSW,75%,43
1994-95,GSW,41%,26
1976-77,GSW,87%,46
1978-79,GSW,56%,38
1999-00,GSW,51%,19
1962-63,GSW,63%,31
2012-13,GSW,52%,47
2002-03,GSW,85%,38
2015-16,GSW,95%,73
1969-70,GSW,76%,30
2008-09,GSW,56%,29
1991-92,GSW,76%,55
1971-72,GSW,72%,51
1960-61,GSW,85%,46
1982-83,GSW,68%,30
1998-99,GSW,58%,21
1996-97,GSW,68%,30
2016-17,GSW,68%,28
2005-06,GSW,88%,34
1997-98,GSW,39%,19
1967-68,GSW,80%,43
2011-12,GSW,47%,23
1993-94,GSW,74%,50
1959-60,GSW,80%,49
1980-81,GSW,33%,39
2003-04,GSW,45%,37
1968-69,GSW,89%,41
1990-91,GSW,83%,44
1957-58,GSW,70%,37
2000-01,GSW,62%,17
1975-76,GSW,86%,59
2001-02,GSW,72%,21
2014-15,GSW,80%,67
1955-56,GSW,75%,45
1964-65,GSW,76%,17
1972-73,GSW,75%,47
1965-66,GSW,74%,35
2013-14,GSW,71%,51
1984-85,GSW,66%,22
1956-57,GSW,84%,37
2010-11,GSW,53%,36
1985-86,GSW,60%,30
2006-07,GSW,67%,42
1992-93,GSW,66%,34
2007-08,GSW,91%,48
1973-74,GSW,84%,44
1963-64,GSW,84%,48
1961-62,GSW,80%,49
1970-71,GSW,92%,41
1983-84,GSW,80%,37
2004-05,GSW,72%,34
1952-53,GSW,56%,12
2009-10,GSW,58%,26
1981-82,GSW,83%,45
1966-67,GSW,74%,44
1954-55,GSW,68%,33
1979-80,GSW,95%,24
1988-89,GSW,71%,43
1953-54,GSW,35%,29
