year,team,continuity,wins
1989-90,LAL,83%,63
1995-96,LAL,86%,53
1987-88,LAL,96%,62
1986-87,LAL,86%,65
1958-59,LAL,72%,33
1974-75,LAL,57%,30
1977-78,LAL,36%,45
1994-95,LAL,74%,48
1976-77,LAL,62%,53
1978-79,LAL,84%,47
1999-00,LAL,69%,67
1962-63,LAL,69%,53
2012-13,LAL,49%,45
2002-03,LAL,93%,50
2015-16,LAL,46%,17
1969-70,LAL,60%,46
2008-09,LAL,95%,65
1991-92,LAL,77%,43
1971-72,LAL,85%,69
1960-61,LAL,82%,36
1982-83,LAL,87%,58
1998-99,LAL,66%,31
1996-97,LAL,49%,56
2016-17,LAL,63%,12
2005-06,LAL,70%,45
1997-98,LAL,83%,61
1967-68,LAL,87%,52
2011-12,LAL,79%,41
1993-94,LAL,68%,33
1959-60,LAL,66%,25
1980-81,LAL,85%,54
2003-04,LAL,62%,56
1968-69,LAL,54%,55
1990-91,LAL,74%,58
1957-58,LAL,44%,19
2000-01,LAL,72%,56
1975-76,LAL,50%,40
2001-02,LAL,79%,58
2014-15,LAL,44%,21
1955-56,LAL,77%,33
1964-65,LAL,86%,49
1972-73,LAL,79%,60
1965-66,LAL,84%,45
2013-14,LAL,43%,27
1984-85,LAL,98%,62
1956-57,LAL,71%,34
2010-11,LAL,85%,57
1985-86,LAL,83%,62
2006-07,LAL,79%,42
1992-93,LAL,82%,39
2007-08,LAL,78%,57
1973-74,LAL,66%,47
1963-64,LAL,86%,42
1961-62,LAL,97%,54
1970-71,LAL,71%,48
1983-84,LAL,82%,54
2004-05,LAL,27%,34
1952-53,LAL,84%,48
2009-10,LAL,87%,57
1981-82,LAL,83%,57
1966-67,LAL,65%,36
1954-55,LAL,89%,40
1979-80,LAL,61%,60
1988-89,LAL,89%,57
1953-54,LAL,87%,46
