year,team,continuity,wins
1989-90,MIL,69%,44
1995-96,MIL,63%,25
1987-88,MIL,88%,42
1986-87,MIL,69%,50
1974-75,MIL,61%,38
1977-78,MIL,61%,44
1994-95,MIL,53%,34
1976-77,MIL,61%,30
1978-79,MIL,91%,38
1999-00,MIL,83%,42
2012-13,MIL,79%,38
2002-03,MIL,69%,42
2015-16,MIL,79%,33
1969-70,MIL,61%,56
2008-09,MIL,47%,34
1991-92,MIL,78%,31
1971-72,MIL,73%,63
1982-83,MIL,67%,51
1998-99,MIL,60%,28
1996-97,MIL,54%,33
2016-17,MIL,50%,15
2005-06,MIL,38%,40
1997-98,MIL,51%,36
2011-12,MIL,58%,31
1993-94,MIL,72%,20
1980-81,MIL,80%,60
2003-04,MIL,50%,41
1990-91,MIL,69%,48
2000-01,MIL,75%,52
1975-76,MIL,46%,38
2001-02,MIL,81%,41
2014-15,MIL,67%,41
1972-73,MIL,81%,60
2013-14,MIL,24%,15
1984-85,MIL,61%,59
2010-11,MIL,62%,35
1985-86,MIL,91%,57
2006-07,MIL,53%,28
1992-93,MIL,39%,28
2007-08,MIL,60%,26
1973-74,MIL,87%,59
1970-71,MIL,62%,66
1983-84,MIL,80%,50
2004-05,MIL,65%,30
2009-10,MIL,42%,46
1981-82,MIL,84%,55
1979-80,MIL,60%,49
1988-89,MIL,87%,49
