year,team,continuity,wins
1995-96,MIN,53%,26
1994-95,MIN,51%,21
1999-00,MIN,87%,50
2012-13,MIN,54%,31
2002-03,MIN,68%,51
2015-16,MIN,67%,29
2008-09,MIN,58%,24
1991-92,MIN,83%,15
1998-99,MIN,50%,25
1996-97,MIN,59%,40
2016-17,MIN,86%,10
2005-06,MIN,56%,33
1997-98,MIN,80%,45
2011-12,MIN,73%,26
1993-94,MIN,68%,20
2003-04,MIN,27%,58
1990-91,MIN,79%,29
2000-01,MIN,73%,47
2001-02,MIN,79%,50
2014-15,MIN,43%,16
2013-14,MIN,59%,40
2010-11,MIN,40%,17
2006-07,MIN,73%,32
1992-93,MIN,34%,19
2007-08,MIN,36%,22
2004-05,MIN,86%,44
2009-10,MIN,46%,15
