year,team,continuity,wins
1995-96,ORL,87%,60
1994-95,ORL,76%,57
1999-00,ORL,33%,41
2012-13,ORL,26%,20
2002-03,ORL,68%,42
2015-16,ORL,76%,35
2008-09,ORL,64%,59
1991-92,ORL,74%,21
1998-99,ORL,70%,33
1996-97,ORL,62%,45
2016-17,ORL,52%,15
2005-06,ORL,83%,36
1997-98,ORL,63%,41
2011-12,ORL,84%,37
1993-94,ORL,76%,50
2003-04,ORL,42%,21
1990-91,ORL,76%,31
2000-01,ORL,56%,43
2001-02,ORL,78%,44
2014-15,ORL,52%,25
2013-14,ORL,81%,23
2010-11,ORL,64%,52
2006-07,ORL,92%,40
1992-93,ORL,62%,41
2007-08,ORL,69%,52
2004-05,ORL,11%,36
2009-10,ORL,61%,59
